heart_disease_mortality_per_100k,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_excessive_drinking,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__homicides_per_100k,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician
204,0.537,0.058,0.2,0.069,0.518,0.24,0.098,0.163,0.63,0.145,0.008,0.041,0.143712575,0.264471058,0.279441118,0.31237525,13,6,0.333,0.14,0.119,0.092,0.106,0.234,13,14.63,12.3,1800,1800
243,0.475,0.053,0.215,0.088,0.518,0.27,0.128,0.059,0.113,0.76,0.008,0.024,0.107569721,0.297808765,0.323705179,0.270916335,14,8,0.318,0.212,0.106,0.089,0.167,0.254,13,6.6,7.56,1789,1629
239,0.395,0.063,0.377,0.145,0.496,0.297,0.134,0.81,0.014,0.171,0.007,0.008,0.334673367,0.260301508,0.231155779,0.173869347,17,7,0.278,0.122,0.1,0.072,0.126,0.258,10,2.59,11.07,3369,3060
221,0.524,0.046,0.226,0.116,0.524,0.217,0.139,0.193,0.11,0.657,0.004,0.033,0.073267327,0.240594059,0.332673267,0.353465347,10,8,0.244,0.184,0.109,0.078,0.206,0.206,11,4.7,8.76,1870,1349
327,0.338,0.115,0.255,0.074,0.516,0.24,0.16,0.021,0.383,0.447,0.112,0.018,0.21756487,0.341317365,0.285429142,0.155688623,12,11,0.351,0.248,0.158,0.129,0.087,0.278,12,20,22.47,4000,1439
253,0.533,0.048,0.107,0.026,0.51,0.186,0.181,0.012,0.001,0.966,0,0.009,0.098522167,0.341871921,0.267980296,0.291625616,10,11,0.282,0.184,0.091,0.066,0.176,0.218,11,1.29,10.66,1429,1250
369,0.341,0.112,0.233,0.046,0.504,0.209,0.158,0.01,0.023,0.952,0.002,0.002,0.234,0.424,0.265,0.077,12,15,0.413,0.376,0.157,0.121,0.104,0.442,13,7.6,33,9150,1400
238,0.467,0.08,0.278,0.089,0.479,0.255,0.132,0.25,0.003,0.694,0.045,0.011,0.166163142,0.29305136,0.380664653,0.160120846,14,8,0.337,0.216,0.107,0.058,0.152,0.241,10,2.65,13.97,1970,1870
260,0.435,0.063,0.136,0.042,0.49,0.188,0.133,0.024,0.044,0.916,0.001,0.006,0.138415246,0.360080241,0.27883651,0.222668004,9,9,0.323,0.166,0.092,0.071,0.224,0.263,11,1.1,13.07,1939,1450
277,0.494,0.042,0.211,0.056,0.509,0.248,0.107,0.047,0.114,0.808,0.014,0.006,0.089478859,0.30186824,0.32546706,0.283185841,13,7,0.291,0.181,0.101,0.083,0.142,0.277,12,2.8,14.82,2710,2010
208,0.55,0.057,0.143,0.035,0.511,0.237,0.128,0.143,0.049,0.69,0.009,0.103,0.075924076,0.190809191,0.264735265,0.468531469,12,7,0.241,0.12,0.074,0.077,0.206,0.189,13,0.5,4.09,1039,740
288,0.476,0.067,0.199,0.082,0.497,0.2,0.171,0.021,0.02,0.951,0.014,0.007,0.128712871,0.464356436,0.258415842,0.148514851,11,12,0.317,0.216,0.125,0.079,0.152,0.323,14,3.14,12.75,4410,1759
309,0.432,0.066,0.242,0.07,0.512,0.227,0.172,0.019,0.048,0.907,0,0,0.171717172,0.407070707,0.262626263,0.158585859,12,12,0.346,0.23,0.12,0.076,0.127,0.313,14,6.4,20.1,3520,1289
274,0.464,0.051,0.117,0.056,0.515,0.201,0.189,0.018,0.061,0.903,0.001,0.008,0.106106106,0.442442442,0.235235235,0.216216216,10,12,0.325,0.224,0.115,0.079,0.124,0.258,14,0.6,15.25,1879,1360
277,0.46,0.051,0.199,0.042,0.52,0.203,0.168,0.009,0.068,0.885,0.014,0.013,0.114770459,0.370259481,0.26247505,0.25249501,12,13,0.309,0.233,0.125,0.105,0.099,0.316,13,5.95,16.14,1370,799
327,0.452,0.085,0.288,0.109,0.51,0.237,0.151,0.095,0.145,0.738,0.015,0.019,0.205153617,0.306243806,0.297324083,0.191278494,12,11,0.273,0.208,0.11,0.091,0.1,0.317,13,3.34,15.63,2699,839
335,0.442,0.064,0.212,0.062,0.51,0.241,0.164,0.038,0.03,0.898,0.002,0.007,0.153313551,0.399604352,0.256181998,0.190900099,13,12,0.354,0.262,0.132,0.079,0.083,0.351,14,4,23.1,1240,1290
252,0.426,0.081,0.234,0.094,0.518,0.217,0.177,0.002,0.279,0.687,0.001,0.011,0.216515609,0.376636455,0.286002014,0.120845921,10,11,0.351,0.217,0.146,0.101,0.145,0.297,13,5.09,17.17,8659,2279
313,0.43,0.088,0.236,0.056,0.515,0.225,0.151,0.02,0.299,0.671,0.001,0,0.281620553,0.391304348,0.225296443,0.101778656,11,10,0.32,0.199,0.122,0.119,0.127,0.298,11,5.8,29.33,7720,11509
204,0.523,0.043,0.151,0.082,0.512,0.25,0.18,0.014,0.021,0.96,0.01,0.006,0.094581281,0.266995074,0.265024631,0.373399015,10,9,0.263,0.168,0.099,0.058,0.204,0.248,14,1,8.77,2339,1530
280,0.48,0.057,0.273,0.065,0.5,0.233,0.137,0.044,0.135,0.771,0.028,0.004,0.257171118,0.387734916,0.196834817,0.158259149,13,9,0.361,0.237,0.105,0.086,0.171,0.339,12,4.6,21.06,2360,2479
234,0.385,0.083,0.261,0.093,0.491,0.202,0.163,0.769,0.008,0.176,0.036,0.013,0.180541625,0.293881645,0.327983952,0.197592778,11,9,0.219,0.246,0.091,0.119,0.147,0.2,10,11.18,31.1,2150,1330
349,0.435,0.09,0.227,0.081,0.525,0.213,0.174,0.021,0.584,0.377,0.005,0.012,0.197813121,0.396620278,0.257455268,0.148111332,9,13,0.403,0.155,0.185,0.116,0.113,0.298,13,9.5,28.11,5770,2330
203,0.492,0.061,0.199,0.07,0.511,0.213,0.107,0.308,0.017,0.484,0.027,0.144,0.140718563,0.196606786,0.271457086,0.391217565,11,6,0.213,0.084,0.074,0.055,0.191,0.14,8,0.6,8.22,1930,890
336,0.475,0.07,0.142,0.055,0.49,0.198,0.186,0.023,0.031,0.931,0,0,0.122408687,0.471865745,0.249753208,0.155972359,9,13,0.335,0.252,0.106,0.073,0.187,0.322,12,1.51,21.73,2789,1669
350,0.371,0.088,0.248,0.048,0.476,0.229,0.157,0.028,0.313,0.609,0.028,0.001,0.2,0.42020202,0.253535354,0.126262626,12,12,0.367,0.208,0.131,0.118,0.069,0.382,13,8.42,37.31,3169,1730
210,0.468,0.06,0.197,0.097,0.501,0.148,0.109,0.035,0.037,0.846,0.01,0.062,0.067134269,0.225450902,0.249498998,0.457915832,9,6,0.225,0.172,0.079,0.069,0.174,0.188,14,1.9,8.4,2080,1759
340,0.456,0.062,0.215,0.08,0.483,0.212,0.134,0.031,0.066,0.859,0,0.024,0.129224652,0.335984095,0.313121272,0.22166998,12,11,0.312,0.228,0.086,0.087,0.169,0.272,14,4.1,12.96,1830,1190
244,0.483,0.075,0.309,0.084,0.495,0.303,0.115,0.385,0.003,0.573,0.019,0.014,0.251727542,0.264560711,0.322803554,0.160908193,16,7,0.322,0.162,0.085,0.064,0.133,0.261,11,4.31,22.46,2380,1979
259,0.487,0.059,0.212,0.095,0.497,0.2,0.198,0.029,0.076,0.872,0.01,0.006,0.168686869,0.324242424,0.309090909,0.197979798,9,11,0.288,0.214,0.12,0.073,0.092,0.257,13,2.71,20.45,5260,2250
272,0.503,0.056,0.157,0.058,0.514,0.222,0.15,0.011,0.14,0.793,0,0.022,0.090547264,0.321393035,0.282587065,0.305472637,11,11,0.285,0.19,0.091,0.091,0.182,0.232,14,4.7,6.3,1699,1059
272,0.507,0.075,0.129,0.042,0.517,0.238,0.14,0.048,0.104,0.81,0.002,0.032,0.081243731,0.345035105,0.286860582,0.286860582,10,9,0.29,0.189,0.081,0.084,0.182,0.248,12,1.53,10.8,2510,1739
230,0.474,0.034,0.273,0.096,0.507,0.274,0.145,0.154,0.002,0.812,0.012,0.011,0.137651822,0.292510121,0.389676113,0.180161943,15,9,0.264,0.179,0.079,0.065,0.132,0.214,10,2,18.21,1369,1599
293,0.418,0.065,0.237,0.078,0.511,0.237,0.163,0.07,0.045,0.871,0,0.006,0.172139303,0.364179104,0.287562189,0.176119403,13,12,0.296,0.202,0.115,0.068,0.119,0.293,14,5.3,23.87,3119,2339
270,0.498,0.051,0.279,0.121,0.517,0.267,0.105,0.241,0.08,0.652,0.006,0.003,0.159090909,0.294466403,0.333003953,0.213438735,13,7,0.288,0.131,0.1,0.079,0.202,0.234,10,3.11,15.25,3979,2500
323,0.48,0.057,0.123,0.027,0.512,0.205,0.167,0.027,0.064,0.86,0.012,0.017,0.095381526,0.353413655,0.322289157,0.228915663,10,11,0.307,0.218,0.113,0.08,0.171,0.235,13,2,9.86,1890,2360
401,0.393,0.068,0.264,0.095,0.515,0.259,0.145,0.024,0.35,0.616,0,0.004,0.200610998,0.391038697,0.288187373,0.120162933,12,10,0.363,0.23,0.129,0.134,0.075,0.343,12,7.78,38.92,3499,1950
193,0.497,0.057,0.286,0.142,0.512,0.203,0.217,0.198,0.169,0.605,0.007,0.023,0.126242545,0.257455268,0.28528827,0.331013917,10,10,0.228,0.137,0.087,0.093,0.15,0.226,11,7.13,14.13,1519,1280
340,0.456,0.082,0.209,0.065,0.489,0.21,0.144,0.022,0.069,0.862,0.004,0.016,0.12601626,0.332317073,0.318089431,0.223577236,12,10,0.324,0.235,0.092,0.078,0.166,0.292,14,2.76,14.29,2059,1099
300,0.465,0.053,0.28,0.085,0.512,0.293,0.114,0.262,0.241,0.424,0.013,0.031,0.212637914,0.336008024,0.294884654,0.156469408,17,9,0.393,0.254,0.128,0.082,0.158,0.33,8,16.9,13.44,2669,1819
279,0.465,0.066,0.264,0.05,0.516,0.204,0.114,0.055,0.589,0.314,0.014,0.027,0.145875252,0.229376258,0.265593561,0.35915493,13,9,0.311,0.197,0.114,0.13,0.194,0.274,12,48,13.89,1590,1139
210,0.293,0.13,0.301,0.178,0.503,0.297,0.136,0.066,0.004,0.185,0.733,0,0.226,0.333,0.332,0.109,14,9,0.32,0.182,0.147,0.072,0.134,0.218,10,14.7,58.35,1489,2920
285,0.453,0.068,0.155,0.066,0.492,0.182,0.201,0.007,0.023,0.958,0,0.003,0.134,0.491,0.224,0.151,9,13,0.328,0.214,0.118,0.084,0.192,0.279,13,1.1,17.33,2310,2400
260,0.548,0.044,0.146,0.069,0.509,0.218,0.178,0.059,0.015,0.908,0.008,0.005,0.124248497,0.417835671,0.234468938,0.223446894,10,10,0.275,0.206,0.119,0.071,0.163,0.243,13,1.71,18.29,3509,1739
268,0.423,0.054,0.3,0.084,0.502,0.268,0.147,0.555,0.021,0.41,0.022,0.007,0.215291751,0.26861167,0.334004024,0.182092555,14,10,0.311,0.222,0.112,0.082,0.152,0.269,9,11.8,19.54,2990,1489
260,0.538,0.036,0.141,0.059,0.506,0.208,0.18,0.066,0.012,0.902,0,0.007,0.130822597,0.421209118,0.236868186,0.211100099,10,10,0.308,0.215,0.115,0.072,0.163,0.242,13,1.8,16.26,3170,1739
259,0.482,0.059,0.241,0.073,0.51,0.234,0.164,0.083,0.078,0.772,0.006,0.044,0.172277228,0.311881188,0.301980198,0.213861386,11,10,0.287,0.222,0.108,0.094,0.117,0.281,13,5.6,18.56,2140,1510
322,0.399,0.065,0.327,0.1,0.487,0.256,0.126,0.107,0.283,0.595,0.007,0.005,0.224155578,0.388945752,0.248720573,0.138178096,14,10,0.313,0.209,0.117,0.101,0.12,0.336,12,6.2,21.43,3319,1660
296,0.457,0.079,0.364,0.15,0.463,0.235,0.172,0.252,0.087,0.654,0.006,0.008,0.293642785,0.367305752,0.232088799,0.106962664,14,11,0.321,0.199,0.099,0.091,0.13,0.306,10,5.41,33.91,3220,1999
252,0.479,0.069,0.256,0.074,0.512,0.242,0.128,0.389,0.099,0.438,0.015,0.065,0.177532598,0.346038114,0.211634905,0.264794383,13,7,0.24,0.173,0.09,0.089,0.159,0.249,11,4.5,5.91,1459,1739
330,0.367,0.126,0.246,0.078,0.496,0.283,0.108,0.249,0.023,0.583,0.036,0.068,0.188548865,0.252714709,0.416584403,0.142152024,16,8,0.306,0.168,0.078,0.063,0.193,0.218,9,4.15,17.95,3700,3809
369,0.429,0.065,0.266,0.074,0.505,0.241,0.137,0.051,0.228,0.656,0.004,0.025,0.141716567,0.291417166,0.354291417,0.21257485,14,9,0.348,0.269,0.121,0.093,0.148,0.283,12,9.4,18.64,1410,1899
226,0.369,0.084,0.224,0.076,0.5,0.171,0.26,0.061,0.005,0.84,0.062,0.015,0.074404762,0.275793651,0.398809524,0.250992063,9,14,0.286,0.182,0.123,0.048,0.141,0.202,11,4.3,11.88,1119,989
266,0.501,0.061,0.233,0.05,0.512,0.225,0.13,0.246,0.231,0.431,0.01,0.073,0.149801587,0.245039683,0.248015873,0.357142857,13,8,0.271,0.177,0.096,0.084,0.212,0.219,13,9.9,6.62,1250,1080
175,0.438,0.058,0.262,0.106,0.52,0.158,0.334,0.084,0.051,0.832,0,0.013,0.088062622,0.297455969,0.299412916,0.315068493,7,14,0.205,0.193,0.101,0.073,0.165,0.19,11,4.4,11.19,1439,1259
222,0.562,0.044,0.116,0.046,0.516,0.254,0.127,0.029,0.04,0.889,0.005,0.019,0.057553957,0.264131552,0.324768756,0.353545735,12,7,0.299,0.159,0.078,0.073,0.229,0.242,12,0.83,9.33,1940,2120
238,0.536,0.049,0.136,0.055,0.527,0.216,0.185,0.022,0.051,0.881,0.004,0.024,0.081510934,0.263419483,0.314115308,0.340954274,9,10,0.268,0.169,0.103,0.077,0.118,0.261,13,2.52,10.86,1280,860
286,0.413,0.066,0.233,0.048,0.507,0.223,0.193,0.005,0.009,0.965,0.003,0.003,0.141153082,0.409542744,0.269383698,0.179920477,11,12,0.343,0.244,0.128,0.084,0.11,0.315,13,4.92,20.7,2670,2649
180,0.547,0.024,0.13,0.035,0.513,0.195,0.157,0.025,0.019,0.919,0.006,0.019,0.053427419,0.252016129,0.274193548,0.420362903,10,9,0.217,0.138,0.076,0.059,0.183,0.156,10,1.2,7.09,1230,639
175,0.441,0.058,0.254,0.132,0.513,0.153,0.332,0.083,0.05,0.848,0.003,0.015,0.078528827,0.298210736,0.300198807,0.32306163,7,13,0.196,0.192,0.1,0.069,0.174,0.192,11,3.72,14,1469,1300
269,0.396,0.068,0.153,0.047,0.48,0.239,0.116,0.082,0.058,0.825,0.016,0.021,0.113207547,0.332671301,0.347567031,0.206554121,18,8,0.296,0.255,0.091,0.068,0.195,0.264,12,1.9,11.31,1240,2219
286,0.432,0.094,0.388,0.15,0.515,0.31,0.112,0.023,0,0.322,0.633,0.005,0.117352056,0.38114343,0.32998997,0.171514544,18,10,0.314,0.348,0.132,0.09,0.204,0.305,12,12.2,39.63,1710,1049
309,0.508,0.061,0.167,0.033,0.506,0.216,0.173,0.042,0.015,0.914,0.005,0.007,0.108565737,0.365537849,0.35059761,0.175298805,10,11,0.339,0.241,0.111,0.083,0.214,0.26,12,2.37,10.06,1589,1780
210,0.464,0.062,0.169,0.058,0.51,0.219,0.137,0.071,0.031,0.779,0.011,0.049,0.060483871,0.223790323,0.381048387,0.334677419,12,8,0.277,0.19,0.098,0.058,0.156,0.178,10,2.28,10.98,1569,1049
365,0.408,0.083,0.226,0.075,0.515,0.227,0.186,0.005,0.317,0.661,0,0.005,0.217085427,0.382914573,0.275376884,0.124623116,11,14,0.355,0.263,0.146,0.126,0.106,0.349,13,4.39,21.05,7180,1789
213,0.548,0.039,0.184,0.044,0.506,0.172,0.177,0.017,0.016,0.912,0.007,0.027,0.072507553,0.283987915,0.257804632,0.385699899,8,9,0.276,0.165,0.092,0.068,0.179,0.177,11,1.9,10.81,1309,529
255,0.506,0.048,0.253,0.098,0.518,0.169,0.229,0.08,0.105,0.76,0.002,0.039,0.094662638,0.299093656,0.318227593,0.288016113,9,13,0.241,0.204,0.106,0.092,0.176,0.21,11,4.8,12.99,1579,1150
191,0.534,0.032,0.081,0.033,0.499,0.275,0.107,0.019,0.03,0.873,0,0.054,0.030241935,0.20766129,0.242943548,0.519153226,11,6,0.273,0.12,0.086,0.065,0.204,0.214,13,1.2,6.32,2009,820
350,0.284,0.051,0.202,0.081,0.43,0.237,0.068,0.113,0.113,0.704,0,0.023,0.100098135,0.311089303,0.345436703,0.243375859,15,6,0.34,0.24,0.101,0.063,0.218,0.271,10,6.4,19.06,969,3800
238,0.466,0.059,0.274,0.115,0.503,0.223,0.156,0.015,0.012,0.938,0.018,0.003,0.052156469,0.302908726,0.357071214,0.287863591,12,10,0.212,0.174,0.073,0.056,0.182,0.193,12,2.5,20.78,1599,1339
326,0.469,0.06,0.22,0.077,0.503,0.223,0.171,0.032,0.106,0.815,0.006,0.008,0.170731707,0.338414634,0.329268293,0.161585366,11,11,0.266,0.251,0.113,0.099,0.15,0.299,13,3.78,19.09,3470,2330
257,0.503,0.041,0.295,0.135,0.505,0.267,0.144,0.446,0.068,0.474,0.01,0.008,0.172172172,0.318318318,0.332332332,0.177177177,14,8,0.3,0.249,0.111,0.078,0.24,0.236,9,4.85,16.22,2320,1320
198,0.537,0.032,0.123,0.044,0.52,0.205,0.172,0.008,0,0.951,0.009,0.021,0.073558648,0.311133201,0.306163022,0.309145129,9,10,0.277,0.179,0.088,0.061,0.198,0.198,10,1,9.33,2590,1269
163,0.552,0.037,0.107,0.06,0.505,0.24,0.135,0.042,0.045,0.835,0.005,0.067,0.057344064,0.204225352,0.320925553,0.41750503,15,7,0.229,0.113,0.065,0.069,0.145,0.206,12,1.33,9.44,1329,409
